study,Study Design,Sampling Method,Data Collection,Analysis Methods,Overall
"Bassem, 2008",Moderate,High,Moderate,High,High
"Borena and Waktola, 2019",High,Moderate,High,High,High
"Bumbie, 2013",High,High,High,High,High
"Hermes et al., 2005",Moderate,Moderate,Moderate,Low,Moderate
"Hung, 2003",Moderate,Moderate,Moderate,Moderate,Moderate
"Maurya, 2015",Moderate,Moderate,High,High,High
"Sangwan et al., 2020",Moderate,Moderate,Moderate,Moderate,Moderate
"Shete and Garcia, 2010",Moderate,Moderate,Moderate,High,High
