study,Study Design,Sampling Method,Data Collection,Analysis Methods,Overall
"Asgedom et al., 2015",Moderate,Low,Moderate,Moderate,Moderate
"Bassem, 2008",Moderate,High,Moderate,High,High
"Berhane et al., 2009",Moderate,Moderate,Moderate,Moderate,Moderate
"Hermes et al., 2005",Moderate,Moderate,Moderate,Low,Moderate
"Hung, 2003",Moderate,Moderate,Moderate,Moderate,Moderate
"Noglo and Androuais, 2015",Moderate,Moderate,High,Moderate,High
"Razzaque, 2018",Low,Moderate,Low,Moderate,Moderate
"Sangwan et al., 2020",Moderate,Moderate,Moderate,Moderate,Moderate
"Wydick, 1999",Moderate,Moderate,Moderate,Moderate,Moderate
