study,Study Design,Sampling Method,Data Collection,Analysis Methods,Overall
"Anthony and Horne, 2003",Moderate,Low,Low,Moderate,Moderate
"Ayogyam et al., 2014",Moderate,High,High,High,High
"Bassem, 2008",Moderate,High,Moderate,High,High
"Chen et al., 2020",High,High,High,Moderate,High
"Hung, 2003",Moderate,Moderate,Moderate,Moderate,Moderate
"Kinyondo and Okurut, 2009",High,Moderate,Moderate,Moderate,High
"Muchnick and Kollamparambil, 2015",Moderate,Low,Moderate,Low,Moderate
"Musah et al., 2014",Moderate,Moderate,Moderate,Moderate,Moderate
"Niyigaba et al., 2019",Moderate,Moderate,Moderate,High,High
"Noglo and Androuais, 2015",Moderate,Moderate,Moderate,Moderate,Moderate
"Postlenicu et al., 2015",Moderate,Low,Low,Moderate,Moderate
"van Den Berg et al., 2015",Moderate,Moderate,Low,Moderate,Moderate
"Wydick, 1999",Moderate,Moderate,Moderate,Moderate,Moderate
