study,Study Design,Sampling Method,Data Collection,Analysis Methods,Overall
"Ahlin and Townsend, 2007",Moderate,Moderate,Moderate,Moderate,Moderate
"Ayogyam et al., 2014",Moderate,High,High,High,High
"Bassem, 2008",Moderate,High,Moderate,High,High
"Berhane et al., 2009",Moderate,Moderate,Moderate,Moderate,Moderate
"Borena and Waktola, 2019",High,Moderate,High,High,High
"Kalra, 2015",Moderate,Low,Moderate,Moderate,Moderate
"Kinyondo and Okurut, 2009",High,Moderate,Moderate,Moderate,High
"Kiros, 2014",Moderate,High,Moderate,High,High
"Muchnick and Kollamparambil, 2015",Moderate,Low,Moderate,Low,Moderate
"Noglo and Androuais, 2015",Moderate,Moderate,Moderate,Moderate,Moderate
"Postlenicu et al., 2019",Moderate,Low,Low,Moderate,Moderate
"Shete and Garcia, 2010",Moderate,Moderate,Moderate,High,High
"Singh and Padhi, 2017",Moderate,Low,Moderate,Moderate,Moderate
"van Den Berg et al., 2015",Moderate,Moderate,Low,Moderate,Moderate
"Wydick, 1999",Moderate,Moderate,Moderate,Moderate,Moderate
