study,Study Design,Sampling Method,Data Collection,Analysis Methods,Overall
"Bassem, 2008",Moderate,High,Moderate,High,High
"Berhane et al., 2009",Moderate,Moderate,Moderate,Moderate,Moderate
"Cassar et al., 2007",Low,Low,Low,Low,Low
"Hermes et al., 2005",Moderate,Moderate,Moderate,Low,Moderate
"Maurya, 2015",Moderate,Moderate,High,High,High
"Sandar et al., 2015",Moderate,High,High,High,High
"Wydick, 1999",Moderate,Moderate,Moderate,Moderate,Moderate
